Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Interpersonal Communication,"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><p>Communicating effectively isn't an innate talent that some people have and others don't—it's something that anyone can learn and practice. In this course, learn strategies that can help you hone and master your interpersonal communication skills. Join personal branding and career expert Dorie Clark as she shares techniques for getting your message across effectively in the workplace, and explains how to tackle potential communication challenges with your colleagues and supervisor. She also discusses how to grapple with tricky situations, taking you through how to handle interruptions, and respond to critical feedback.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2025-04-11 16:14 UTC,N/A,false,N/A,
Nano Tips to Speak Up in Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and peak performance educator for Fortune 500s Shadé Zahrai teaches you quick tips for speaking up in meetings and making your voice heard. Learn how to avoid mistakes that harm your credibility and influence, speak up when you can’t find your turn, contribute value with strategic questions, claim back credit for overlooked suggestions, and more.",Course,2025-08-07 16:34 UTC,N/A,false,N/A,
Complete Guide to Parallel and Concurrent Programming with C++,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously, increases the overall processing throughput, and is key to writing faster and more efficient applications. In this course, join instructors Barron and Olivia Chiu Stone as they introduce the basics of parallel and concurrent programming in C++, providing the foundational knowledge you need to write more efficient, performant code. Barron and  Olivia explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using C++. Each lesson is short and practical, driving home the theory with hands-on techniques. By the end of this course, you'll be prepared to analyze the performance impact of parallel and concurrent programming techniques, evaluating the trade-offs and applying the appropriate programming patterns to optimize the throughput and efficiency of their C++ applications.",Course,2025-10-26 14:23 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2024-12-08 11:45 UTC,N/A,false,N/A,
Logo Design: Visual Effects,"Many times, a designer will have a concept for a logo, such as a bird in flight, but struggle with how to communicate that rather simple idea in a new and dynamic way. Bill Gardner, founder of LogoLounge, has been looking at, tracking, and writing about logo design styles for over thirty years. In this course he will walk members through six different visual effects that will help communicate your ideas more effectively. You'll learn how transparency can communicate a promise of clarity, how texture and light tell stories, and how three-dimensional shapes make your ideas almost touchable. Incorporate these effects into your designs and turn ""nice"" logos into ones that capture the hearts and imaginations of clients and their customers.",Course,2025-02-25 15:03 UTC,N/A,false,N/A,
C++ Design Patterns: Structural,"<p>Design patterns allow you to solve common software development problems in a reusable way, making your code more robust and scalable. In this course, Károly Nyisztor explores the structural design patterns from the Gang of Four. He shows you how to leverage these patterns in modern C++ code and how they can help you design more robust and scalable software. He also discusses the seven structural design patterns from the original design patterns book—adapter, bridge, composite, decorator, facade, flyweight, and proxy—and shows you how to implement each one in modern C++. For each pattern, he shows you when and how to use it, along with its benefits and drawbacks. Join Károly in this course to learn how to apply structural design patterns in your own code and bolster your development skills. </p><p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/c-plus-plus-programming-professional-certificate-by-openedg-c-plus-plus-institute"">Professional Certificate</a> from OpenEDG C++ Institute.</p>",Course,2025-11-19 14:00 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2025-05-23 21:48 UTC,N/A,false,N/A,
Treating Go as an Object-Oriented Language,"Did you know that treating Go like an object-oriented programming language can allow you to create more functional and more powerful behavior? Join instructor Frank P Moley III in this hands-on, interactive course to practice advancing your skills in Go, the popular, statically typed programming language. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Frank helps you boost your skills as a Go programmer with specific, coding challenges that treat Go like an object-oriented language. Practice creating and working with structs, synthesizing classes, and leveraging encapsulation, composition, and polymorphism, building object-oriented behavior as you go.",Course,2025-06-15 05:08 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2024-03-09 20:45 UTC,N/A,false,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-04-21 23:39 UTC,N/A,false,N/A,
ETL in Python and SQL,"Data is increasing exponentially as the world continues to generate an immense amount. In this course, a data engineer with over 5 years of experience, Jennifer Ebe, will show you how to build systems that gather data from various sources, transform it and store data so you can derive insights from it effectively. We will go over what ETLs are and how you create them. We will learn how to use Python to extract and transform data, we will explore  our data using pandas and SQL. And finally, load data into our target system. You will also get practice scheduling ETL jobs using Python. Each chapter comes with helpful, hands-on challenges to help you practice what you learn.",Course,2024-06-23 16:48 UTC,N/A,false,N/A,
AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 3 Modeling,"<p>Join MLOps expert and CTO Noah Gift to learn all about data engineering and prepare for the modeling portion of the AWS Certified Machine Learning – Specialty (MLS-C01) certification. Noah explains when to use machine learning, the difference between supervised and unsupervised learning, and the types of models that are available. He shows you how to train the model using the appropriate data. This process includes splitting the data into training and validation sets, choosing the right optimizer and loss function, and understanding the trade-offs between different model choices. After the model is trained, Noah guides you through how to evaluate it to ensure that it is performing well. This evaluation includes choosing the right metrics, understanding the confusion matrix, and performing cross-validation. Finally, Noah goes over how to interpret the model to understand what it is doing and how it can be improved.</p>
 
<p>This course was created by Noah Gift. We are pleased to host this training in our library.</p>",Course,2024-03-16 23:01 UTC,N/A,false,N/A,
Excel Statistics Essential Training: 1,"<p>Data isn’t valuable until you put it to good use. Statistics transforms data into meaningful information, enabling organizations to make better decisions and predictions. That’s why statistics—collecting, analyzing, and presenting data—is a valuable skill for anyone in business or academia. In this course, statistics and business analysis instructor Eddie Davila takes you on a nuanced, step-by-step journey to mastering statistics through Excel. Eddie first teaches the basic principles of statistics with a series of examples, then advances your understanding by extending those same examples into more complex applications of statistical theory—all while using Excel and Excel's statistics tools and functions. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/statistics-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2024-03-18 13:56 UTC,N/A,false,N/A,
Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services,"Passing the Microsoft DP-300 certification exam allows job seekers to demonstrate proficiency with next-gen, cloud-based database technologies, and in this <i>Azure Database Administrator Associate (DP-300) Cert Prep</i> series of courses, Adam Wilbert takes you through the key aspects of the exam that you need to know. This third and final course in the series highlights the high availability features of Azure, as and shows how to protect your databases with automated backups.",Course,2025-01-08 02:43 UTC,N/A,false,N/A,
Learning MATLAB,"<p>MATLAB is one of the most popular programming languages today for engineers and scientists, and with good reason—it allows analysts to work efficiently with large amounts of data. In this course, instructor Majlinda Qarri covers the basics of MATLAB software with tips on how to leverage it to solve complex mathematical problems and build, simulate, optimize, and analyze models of various physical systems.</p><p>Find out why MATLAB is so popular with engineers and scientists in different industries around the world, as it allows them to create graphic representations of data in 2D or 3D with ease in real time. Along the way, get tips on performing mathematical calculations with arrays and matrices, running simple programs and scripts, creating and manipulating plots, and more.</p>",Course,2025-07-24 03:01 UTC,N/A,false,N/A,
React: Working with Loops,"One of the key features of React is the ability to create dynamic and interactive components, and loops are a critical component, allowing you to repeat a set of instructions multiple times. Looping can make your code more concise and easier to read, especially when you're working with large data sets. It allows you to iterate over a collection of data and render each item in the collection, which can save you from having to write a lot of individual components by hand. By using loops, you can easily create components that can update in real-time based on changes in the underlying data, which can make your applications more responsive and engaging for users. Join instructor Shalom Mathew to learn all you need to know about loops, including the basics of how to create a loop, how to use conditional rendering to control what content is displayed, and more advanced techniques like using loops with hooks and handling complex data structures.",Course,2025-12-19 17:27 UTC,N/A,false,N/A,
Providing clear directions in AI prompts,"Knowing what type of market you are creating content for can be key to creating content with AI that sounds authentic. After this lesson, you will be able provide clear direction in AI prompts to target specific markets.",Video (3rd Party Provider),2025-04-11 16:14 UTC,N/A,false,N/A,
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2024-06-17 13:09 UTC,N/A,false,N/A,
How generative AI can amplify and accelerate L&D outcomes,"Leveraging the transformative capabilities of generative AI will create unprecedented opportunities to not only create a culture of learning but also create an agile learning ecosystem that can adapt and reinvent over time to meet the evolving needs of business, talent, and the organization. ",Video (3rd Party Provider),2025-04-11 16:14 UTC,N/A,false,N/A,
Assess generative AI outcomes to measure ROI,"Understanding and quantifying ROI is crucial for justifying investments in generative AI and guiding future decision-making and resource allocation. At the end of this video, you will be able to identify and define important performance metrics, and accurately evaluate ROI.",Video (3rd Party Provider),2025-04-11 16:14 UTC,N/A,false,N/A,
Say what you mean to neurodivergent employees,Neurodivergent people can struggle with sensory overload. In this video you will learn what can cause sensory overload and how you can help avoid it.,Video (3rd Party Provider),2024-06-17 13:09 UTC,N/A,false,N/A,
How to enhance your verbal communication skills,"Whether giving a presentation or negotiating a raise, communicating effectively is an important soft skill. This video equips you with the tools to enhance your interpersonal skills, connect with your audience, and deliver your message with confidence.",Video (3rd Party Provider),2024-06-17 13:10 UTC,N/A,false,N/A,
Crafting an effective LinkedIn marketing strategy,Covering a wider selection of topics in your videos helps you reach more people than those who are strictly in your niche. This video helps you create more variety of content.,Video (3rd Party Provider),2024-06-17 13:10 UTC,N/A,false,N/A,
Sales DMs that aren't annoying,,Video (3rd Party Provider),2024-06-17 13:09 UTC,N/A,false,N/A,
Creating a sales philosophy,,Video (3rd Party Provider),2024-06-17 13:10 UTC,N/A,false,N/A,
Use AI to create a daily schedule,"After watching this video, you will be able to use ChatGPT to create your own daily schedule to be productive at work while being intentional about personal commitments as well.

When you focus on time management, you can ensure that you're recharging in the way you need.",Video (3rd Party Provider),2025-04-11 16:14 UTC,N/A,false,N/A,
